Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Bill Simmons,The Ringer,"Green, Draymond (GSW)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)","Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Murray, Dejounte (SAS)",2021,All-Defensive
Mike Singer,Denver Post,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","George, Paul (LAC)","Dort, Luguentz (OKC)",2021,All-Defensive
Anthony Slater,The Athletic,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2021,All-Defensive
Doug Smith,The Toronto Star,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Turner, Myles (IND)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","VanVleet, Fred (TOR)",2021,All-Defensive
Stephen Smith,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)",2021,All-Defensive
Steve Smith,Turner,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defensive
Seerat Sohi,The Ringer,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defensive
Daisuke Sugiura,Nihon Keizai Shimbun,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)",2021,All-Defensive
Mirjam Swanson,Southern California News Group,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2021,All-Defensive
Maria Taylor,ESPN,"Simmons, Ben (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","George, Paul (LAC)",2021,All-Defensive
Justin Termine,Sirius Radio,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Murray, Dejounte (SAS)",2021,All-Defensive
Brad Townsend,Dallas Morning News,"Butler, Jimmy (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defensive
Christos Tsaltas,SDNA.gr,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Simmons, Ben (PHI)","Green, Draymond (GSW)","Dort, Luguentz (OKC)","Capela, Clint (ATL)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)",2021,All-Defensive
Olgun Uluc,ESPN Australia,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Leonard, Kawhi (LAC)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defensive
Joe Vardon,The Athletic,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defensive
Gary Washburn,Boston Globe,"Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Paul, Chris (PHX)","Adebayo, Bam (MIA)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Green, Danny (PHI)",2021,All-Defensive
Michael Wilbon,ESPN,"Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","George, Paul (LAC)","Conley, Mike (UTA)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Capela, Clint (ATL)","Westbrook, Russell (WAS)","Paul, Chris (PHX)",2021,All-Defensive
Brian Windhorst,ESPN,"Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2021,All-Defensive
Matt Winer,Turner,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Dort, Luguentz (OKC)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defensive
Ryan Wolstat,The Toronto Sun,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","George, Paul (LAC)","VanVleet, Fred (TOR)",2021,All-Defensive
Michael Wright,NBA.com,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2021,All-Defensive
Royce Young,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Thybulle, Matisse (PHI)",2021,All-Defensive
Jeff Zillgitt,USA Today,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Caruso, Alex (LAL)",2021,All-Defensive
