Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
David Aldridge,The Athletic,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Williams III, Robert (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Payton II, Gary (GSW)","VanVleet, Fred (TOR)",2022,All-Defense
Sam Amick,The Athletic,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Mobley, Evan (CLE)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
Jason Anderson,Sacramento Bee,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Mobley, Evan (CLE)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2022,All-Defense
Greg Anthony,Turner,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Paul, Chris (PHX)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Thybulle, Matisse (PHI)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","VanVleet, Fred (TOR)",2022,All-Defense
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Finney-Smith, Dorian (DAL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
Steve Aschburner,NBA.com,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Jackson Jr., Jaren (MEM)","Jones, Herbert (NOP)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2022,All-Defense
Antoine Bancharel,L'Equipe / Canal+,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Mobley, Evan (CLE)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Renjun Bao,Tencent,"Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Thybulle, Matisse (PHI)",2022,All-Defense
Howard Beck,Sports Illustrated,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Lowry, Kyle (MIA)",2022,All-Defense
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Murray, Dejounte (SAS)",2022,All-Defense
Rod Boone,Charlotte Observer,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jackson Jr., Jaren (MEM)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Thybulle, Matisse (PHI)",2022,All-Defense
Chris Broussard,Fox Sports,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Holiday, Jrue (MIL)",2022,All-Defense
Ric Bucher,FS1,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","VanVleet, Fred (TOR)",2022,All-Defense
Doris Burke,ESPN,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Callie Caplan,Dallas Morning News,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Finney-Smith, Dorian (DAL)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Beverley, Patrick (MIN)",2022,All-Defense
Shams Charania,The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Holiday, Jrue (MIL)","VanVleet, Fred (TOR)",2022,All-Defense
Anthony Chiang,Miami Herald,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Mobley, Evan (CLE)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
Davide Chinellato,La Gazzetta dello Sport,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Thybulle, Matisse (PHI)",2022,All-Defense
Antoni Daimiel,Movistar+,"Jackson Jr., Jaren (MEM)","Green, Draymond (GSW)","Williams III, Robert (BOS)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Jones, Herbert (NOP)","Mobley, Evan (CLE)","Murray, Dejounte (SAS)","VanVleet, Fred (TOR)",2022,All-Defense
Dan Devine,The Ringer,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
James Edwards,The Athletic,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Paul, Chris (PHX)","Lowry, Kyle (MIA)",2022,All-Defense
Chris Fedor,Clevleand.com,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Mobley, Evan (CLE)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Green, Draymond (GSW)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Thybulle, Matisse (PHI)",2022,All-Defense
